 vendedor 	 count(idcompra) 
	
1	7
1	3
1	1
1	1
1	3
1	3
1	2
1	2
1	4
1	1
1	3
1	3
1	5
2	5
2	2
2	4
2	1
2	2
2	1
2	5
2	2
2	3
2	1
2	2
2	2
2	3
2	1
2	2
2	2
2	3
2	2
2	2
2	5
2	1
2	6
3	2
3	3
3	3
3	1
3	2
3	3
3	3
3	2
3	1
3	4
3	4
3	1
3	2
3	1
3	3
3	5
3	1
3	3
3	1
3	3
4	2
4	4
4	1
4	4
4	2
4	1
4	5
4	3
4	3
4	1
4	3
4	2
4	3
4	3
4	2
4	4
4	5
4	2
4	3
4	1
4	2
4	4
4	2
4	3
4	8
4	1
4	2
4	4
4	2
4	1
4	3
5	4
5	1
5	2
5	4
5	1
5	2
5	6
5	2
5	1
5	2
5	4
5	2
5	3
5	1
5	3
5	1
5	3
5	1
5	2
5	3
5	2
5	6
6	2
6	1
6	2
6	6
6	3
6	1
6	1
6	1
6	1
6	3
6	8
6	4
6	1
6	2
6	2
7	5
7	5
7	1
7	4
7	2
7	3
7	1
7	3
7	2
7	3
7	3
7	6
7	2
7	1
7	1
7	6
7	3
7	1
7	8
7	2
7	2
7	9
8	3
8	1
8	4
8	1
8	2
8	2
8	6
8	4
8	2
8	1
8	3
8	3
8	3
9	3
9	6
9	4
9	2
9	4
9	4
9	2
9	2
9	2
9	7
9	3
9	2
9	2
9	3
9	1
9	1
9	3
9	3
9	3
9	3
9	3
9	3
9	5
9	2
9	3
10	1
10	2
10	2
10	5
10	2
10	2
10	4
10	2
11	4
11	3
11	3
11	1
11	2
11	2
11	1
11	4
11	1
11	2
11	1
11	3
11	4
11	3
11	2
11	2
11	3
11	2
11	2
12	1
12	5
12	3
12	1
12	2
12	3
12	2
12	1
12	2
12	4
12	3
12	1
12	4
12	2
12	1
13	3
13	2
13	4
13	1
13	4
13	2
13	1
13	2
13	2
13	2
13	3
13	7
13	4
13	2
13	3
13	2
13	2
13	4
13	2
13	2
13	6
13	1
13	4
14	7
14	4
14	2
14	2
14	3
14	2
14	4
14	2
14	3
14	5
14	2
14	3
15	2
15	4
15	3
15	4
15	1
15	2
15	3
15	5
15	2
15	3
15	1
15	1
15	3
15	3
15	3
15	1
15	3
15	4
15	3
15	2
15	4
15	4
15	1
16	3
16	2
16	1
16	4
16	2
16	3
16	1
16	1
16	5
16	5
16	1
16	3
16	1
16	3
16	1
16	3
17	2
17	2
17	3
17	2
17	3
17	2
17	2
17	1
17	4
17	4
17	3
17	5
17	2
17	3
17	4
17	3
17	3
17	6
17	1
18	2
18	2
18	2
18	6
18	4
